File,ZCR,Classification
AAHiZ-c88ec,0.1476245506234992,Speech
AEsRr-ZnzNc,0.0903938263682401,Speech
AJpzk-aFZPU,0.2325350098232733,Speech
AONXX-h9SdI,0.1436011104728812,Speech
AOZIY-AwsjM,0.106159129531722,Speech
APerX-RLJxo,0.0926511270491803,Speech
AQbNb-vtBn8,0.0748911942727357,Speech
AQfXU-TJ8hA,0.0687075606016355,Music
AQfXU-wGovo,0.147567085597826,Speech
AQzlW-z_mgA,0.1256791016777869,Speech
ASbUG-sjYzk,0.1129832707665268,Speech
AXMUA-RQZUE,0.1317481267029972,Speech
AXkEd-CIG_g,0.1287334789615367,Speech
AYeMQ-YWROE,0.1591112252888553,Speech
AaBid-tF4b8,0.1271915214170475,Speech
AbWJf-uQ5i4,0.1313132221117368,Speech
AdQpt-o5a6c,0.1150257063467896,Speech
AgMIS-4d8ZQ,0.1639724611379575,Speech
AhkLa-2VX54,0.1370307090305828,Speech
AjQFQ-5WXLI,0.1001540169413293,Speech
AlXSJ-ZMLmk,0.1096464130471267,Speech
AmDOu-TL3po,0.1341821001045012,Speech
AmDou-_Ijmo,0.126879688000944,Speech
ApGam-dLiEg,0.1427172541401996,Speech
AqSnP-RLVSg,0.099451192220052,Speech
AsLfk-FCJPU,0.1220914752950968,Speech
AtMPU-tiTbY,0.1563223794601881,Speech
AuDVV-xJWcQ,0.1553054530322082,Speech
AuWhZ-Rf8f8,0.1163601069246435,Speech
AvpDG-YLDPY,0.0651751726274787,Music
AzTKt-Yb9ec,0.0738127550876467,Speech
AzmfZ-sXV44,0.1454237915851918,Speech
BASTB-cWano,0.0964047830346058,Speech
BCaUl-bzbCI,0.1769547372494103,Speech
BCeJR-u6lmk,0.1166346869532333,Speech
BETxB-7xaJI,0.0523193112018743,Music
BGhuZ-OUOIk,0.1571422371031746,Speech
BGoJe-8HuSM,0.0889328599264491,Speech
BKxmz-kxC9g,0.1567462978078358,Speech
BNHjk-fip1c,0.1189848600167144,Speech
BNUeB-4Boyw,0.1298285214079239,Speech
BNssC-jM67Y,0.1699611600591332,Speech
BOsUa-R4Bv4,0.0559650021741897,Music
BQUGB-D6P1c,0.1104883560346202,Speech
BQfJS-R8yIo,0.1036155778820015,Speech
BTXJv-fPm_E,0.2234820807902836,Speech
BULDL-56U5s,0.1156085851165664,Speech
BULDL-oO5mA,0.0989043252451726,Speech
BWqAY-2vFtg,0.0898407359182098,Speech
BYsuH-oKS2Y,0.187114792529719,Speech
BZIlO-zZJ3w,0.1525331924521858,Speech
BabTt-5sDpA,0.1435934457297848,Speech
BbHjp-N1t0s,0.1523644240307353,Speech
